9,-24,-2,8,-39,-19,-87,7,-38,-29,
-171,-7,-14,-95,2,-8,13,-38,8,1,
10,-22,-1,2,-22,-10,-63,-3,-44,-35,
8,-27,-3,11,-26,-14,-96,7,-33,-29,
-163,0,-25,-60,4,-23,16,-69,7,1,
-98,4,-1,-45,-5,0,0,-6,4,0,
15,-25,-3,0,-25,-8,-117,3,-63,-30,
14,-37,-10,13,-26,-13,-84,-1,-38,-36,
-16,-15,16,-44,1,-21,21,3,-7,-9,
-100,-2,-28,-64,-2,-21,15,-80,15,4,
-182,-6,-20,-109,0,-12,16,-51,11,1,
10,-19,-4,8,-17,-7,-107,2,-62,-39,
-1,-15,3,5,-23,4,-87,6,-39,-14,
15,-19,-22,9,-19,-7,-125,-6,-63,-19,
14,-23,-20,10,-19,-17,-90,2,-84,-31,
5,3,-13,11,-23,0,-96,-3,-63,-19,
